epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7610.8,0.14231,0.18332,0.75938,0.99635,0.99579,0.99486,0.93776,0.15756,0.17209,0.76258,0.003664,0.003664,0.003664
66,7727.02,0.14056,0.18222,0.75918,0.99558,0.99503,0.99484,0.93813,0.15981,0.17561,0.76268,0.003565,0.003565,0.003565
67,7844.27,0.14009,0.18146,0.75899,0.99732,0.99676,0.99491,0.93732,0.15971,0.17323,0.7625,0.003466,0.003466,0.003466
68,7959.37,0.13873,0.18101,0.75905,0.99698,0.99658,0.99491,0.93841,0.15775,0.1654,0.76308,0.003367,0.003367,0.003367
69,8076.29,0.13813,0.17694,0.75914,0.99767,0.99724,0.99493,0.93824,0.16065,0.17653,0.76197,0.003268,0.003268,0.003268
70,8191.38,0.13549,0.17578,0.75876,0.99658,0.99601,0.9949,0.93757,0.15843,0.17156,0.76251,0.003169,0.003169,0.003169
71,8306.35,0.13336,0.17688,0.75855,0.99635,0.99594,0.99488,0.93705,0.15993,0.17552,0.76189,0.00307,0.00307,0.00307
72,8424.24,0.13207,0.17429,0.75861,0.99611,0.99558,0.99487,0.93751,0.157,0.16934,0.76207,0.002971,0.002971,0.002971
73,8539.45,0.13029,0.17562,0.75841,0.99677,0.99617,0.99486,0.93717,0.15653,0.16999,0.76186,0.002872,0.002872,0.002872
74,8656.26,0.12829,0.17363,0.75827,0.99664,0.99613,0.99488,0.93735,0.15674,0.16989,0.76166,0.002773,0.002773,0.002773
75,8774.11,0.1283,0.17326,0.75826,0.99682,0.99631,0.9949,0.93642,0.15806,0.17281,0.76189,0.002674,0.002674,0.002674
76,8890.83,0.1259,0.17094,0.75821,0.9967,0.99617,0.99489,0.93776,0.15662,0.16972,0.76162,0.002575,0.002575,0.002575
77,9007.46,0.12427,0.17043,0.75811,0.99634,0.99581,0.99489,0.93648,0.15673,0.1693,0.76164,0.002476,0.002476,0.002476
78,9120.85,0.12416,0.17079,0.75792,0.99634,0.99585,0.99488,0.93735,0.1553,0.16599,0.76169,0.002377,0.002377,0.002377
79,9237.24,0.12463,0.16996,0.75822,0.996,0.9954,0.9949,0.93599,0.16459,0.17044,0.76289,0.002278,0.002278,0.002278
80,9351.4,0.12188,0.16795,0.75777,0.99608,0.9955,0.99487,0.93597,0.16283,0.16635,0.76286,0.002179,0.002179,0.002179
81,9468.91,0.12056,0.16335,0.75785,0.99667,0.99622,0.99492,0.93774,0.15553,0.1636,0.76128,0.00208,0.00208,0.00208
82,9589.81,0.11997,0.16304,0.75764,0.99644,0.99597,0.9949,0.93696,0.15912,0.16926,0.76136,0.001981,0.001981,0.001981
83,9709.38,0.11828,0.16365,0.75738,0.99581,0.9954,0.99489,0.93678,0.15801,0.16689,0.76141,0.001882,0.001882,0.001882
84,9825.82,0.11739,0.16351,0.75734,0.99658,0.99614,0.9949,0.93731,0.15764,0.16302,0.7615,0.001783,0.001783,0.001783
85,9941.33,0.11692,0.16126,0.75745,0.99542,0.99489,0.99486,0.93683,0.15711,0.16254,0.76141,0.001684,0.001684,0.001684
86,10057.5,0.11552,0.16012,0.7572,0.99621,0.99584,0.9949,0.93608,0.15659,0.16315,0.76119,0.001585,0.001585,0.001585
87,10177.9,0.1149,0.1585,0.75723,0.99551,0.99503,0.99488,0.93672,0.1558,0.16591,0.76088,0.001486,0.001486,0.001486
88,10294.7,0.11427,0.15737,0.75706,0.99616,0.99567,0.99491,0.93888,0.15367,0.16126,0.76072,0.001387,0.001387,0.001387
89,10417.8,0.11374,0.15741,0.75697,0.99628,0.99576,0.9949,0.93835,0.15392,0.16293,0.76054,0.001288,0.001288,0.001288
90,10549.2,0.11338,0.15766,0.75694,0.99634,0.99585,0.9949,0.93716,0.15436,0.16286,0.7606,0.001189,0.001189,0.001189
91,10681.1,0.11192,0.15622,0.75695,0.99631,0.99581,0.99488,0.93758,0.15544,0.16351,0.76069,0.00109,0.00109,0.00109
92,10810.9,0.11198,0.15548,0.75691,0.99681,0.99635,0.9949,0.93739,0.15536,0.16111,0.76095,0.000991,0.000991,0.000991
93,10941.4,0.11117,0.15434,0.75679,0.997,0.9964,0.99491,0.93771,0.15459,0.16137,0.76057,0.000892,0.000892,0.000892
94,11060.1,0.10989,0.15118,0.75688,0.99675,0.99626,0.99491,0.93814,0.15444,0.16041,0.76054,0.000793,0.000793,0.000793
95,11172.5,0.10889,0.14993,0.75686,0.99612,0.99567,0.9949,0.93808,0.15464,0.16083,0.7605,0.000694,0.000694,0.000694
96,11285.6,0.11002,0.14994,0.75684,0.9964,0.99607,0.9949,0.93813,0.15421,0.16053,0.76045,0.000595,0.000595,0.000595
97,11399.5,0.10869,0.1497,0.75671,0.99599,0.9957,0.99488,0.93771,0.15432,0.16021,0.76051,0.000496,0.000496,0.000496
98,11512.6,0.10883,0.14931,0.75677,0.99638,0.9959,0.9949,0.93814,0.15372,0.16018,0.76034,0.000397,0.000397,0.000397
99,11626,0.10835,0.14926,0.75662,0.99666,0.99622,0.99491,0.93841,0.15341,0.15968,0.76019,0.000298,0.000298,0.000298
100,11740.3,0.10842,0.14904,0.75662,0.99656,0.99617,0.99491,0.93831,0.15379,0.16004,0.76023,0.000199,0.000199,0.000199
