epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3709.17,0.15227,0.1928,0.76057,0.99999,1,0.995,0.955,0.14535,0.17154,0.76115,0.003763,0.003763,0.003763
65,3766.95,0.15125,0.19126,0.75991,1,1,0.995,0.95457,0.14815,0.1772,0.76096,0.003664,0.003664,0.003664
66,3823.13,0.15067,0.19071,0.76017,1,1,0.995,0.95464,0.15229,0.18376,0.76038,0.003565,0.003565,0.003565
67,3880.3,0.14823,0.18951,0.75999,1,1,0.995,0.95421,0.15065,0.18254,0.76055,0.003466,0.003466,0.003466
68,3935.93,0.14877,0.18919,0.76007,1,1,0.995,0.95454,0.14883,0.17699,0.76051,0.003367,0.003367,0.003367
69,3993.3,0.14511,0.18335,0.75998,1,1,0.995,0.95467,0.14738,0.17553,0.76039,0.003268,0.003268,0.003268
70,4048.97,0.14316,0.1825,0.7598,1,1,0.995,0.95468,0.14681,0.17336,0.76045,0.003169,0.003169,0.003169
71,4104.95,0.14259,0.18036,0.7597,1,1,0.995,0.95491,0.1439,0.16894,0.76044,0.00307,0.00307,0.00307
72,4161.47,0.14136,0.18252,0.7596,1,1,0.995,0.95511,0.14304,0.16765,0.7603,0.002971,0.002971,0.002971
73,4218.24,0.14082,0.18132,0.75935,1,1,0.995,0.95487,0.14276,0.16571,0.76031,0.002872,0.002872,0.002872
74,4275.29,0.14197,0.18028,0.75946,1,1,0.995,0.95474,0.14231,0.16532,0.76018,0.002773,0.002773,0.002773
75,4331.27,0.1369,0.17479,0.75935,1,1,0.995,0.95493,0.1433,0.16723,0.75973,0.002674,0.002674,0.002674
76,4387.87,0.13635,0.1747,0.75907,1,1,0.995,0.95492,0.14295,0.16636,0.75967,0.002575,0.002575,0.002575
77,4445.39,0.1369,0.17536,0.75909,1,1,0.995,0.95537,0.14242,0.16624,0.75965,0.002476,0.002476,0.002476
78,4502.07,0.13569,0.17348,0.759,1,1,0.995,0.95517,0.14207,0.16399,0.75952,0.002377,0.002377,0.002377
79,4558.47,0.13535,0.17281,0.7586,1,1,0.995,0.95424,0.14075,0.16001,0.7596,0.002278,0.002278,0.002278
80,4615.25,0.13307,0.16845,0.75884,1,1,0.995,0.95525,0.14201,0.16418,0.7593,0.002179,0.002179,0.002179
81,4671.83,0.13167,0.1671,0.75898,1,1,0.995,0.9547,0.14042,0.15977,0.75937,0.00208,0.00208,0.00208
82,4730.13,0.13188,0.1662,0.75862,1,1,0.995,0.95503,0.13962,0.15833,0.75932,0.001981,0.001981,0.001981
83,4787.38,0.13011,0.16373,0.75859,1,1,0.995,0.95503,0.13904,0.15555,0.75937,0.001882,0.001882,0.001882
84,4844.44,0.12983,0.16337,0.75852,1,1,0.995,0.95522,0.13902,0.1563,0.75928,0.001783,0.001783,0.001783
85,4901.1,0.12888,0.1629,0.75844,1,1,0.995,0.95534,0.13867,0.15564,0.75938,0.001684,0.001684,0.001684
86,4958.66,0.1278,0.16041,0.75872,1,1,0.995,0.95572,0.14022,0.15885,0.75912,0.001585,0.001585,0.001585
87,5015.3,0.12767,0.16098,0.75834,1,1,0.995,0.9558,0.13816,0.15384,0.75924,0.001486,0.001486,0.001486
88,5071.79,0.12633,0.16083,0.75818,1,1,0.995,0.95601,0.13734,0.15198,0.75919,0.001387,0.001387,0.001387
89,5128.72,0.12565,0.15824,0.75828,1,1,0.995,0.95549,0.13813,0.15353,0.75888,0.001288,0.001288,0.001288
90,5184.67,0.12535,0.1572,0.75829,1,1,0.995,0.95558,0.13903,0.15583,0.75878,0.001189,0.001189,0.001189
91,5240.65,0.1249,0.15711,0.75812,1,1,0.995,0.95591,0.13714,0.1508,0.75883,0.00109,0.00109,0.00109
92,5297.25,0.12344,0.15577,0.75804,1,1,0.995,0.95604,0.13656,0.14984,0.75874,0.000991,0.000991,0.000991
93,5354.03,0.12239,0.1537,0.7577,1,1,0.995,0.95591,0.13651,0.14889,0.75876,0.000892,0.000892,0.000892
94,5409.92,0.12498,0.15326,0.75805,1,1,0.995,0.95592,0.13688,0.15106,0.75841,0.000793,0.000793,0.000793
95,5466.61,0.1232,0.152,0.75798,0.99999,1,0.995,0.95612,0.13627,0.14873,0.75853,0.000694,0.000694,0.000694
96,5522.66,0.12202,0.15119,0.75827,1,1,0.995,0.95607,0.1359,0.14784,0.75857,0.000595,0.000595,0.000595
97,5579.75,0.12071,0.14945,0.75791,1,1,0.995,0.95635,0.13599,0.14756,0.75846,0.000496,0.000496,0.000496
98,5636.87,0.12145,0.15048,0.7578,1,1,0.995,0.95627,0.13586,0.14757,0.75838,0.000397,0.000397,0.000397
99,5693.51,0.12063,0.14889,0.75788,1,1,0.995,0.95623,0.13585,0.14742,0.75834,0.000298,0.000298,0.000298
100,5749.01,0.12045,0.14835,0.7578,1,1,0.995,0.95641,0.13572,0.14719,0.75829,0.000199,0.000199,0.000199
