epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2516.96,0.65842,0.28654,0.82193,0.9969,0.99675,0.99493,0.91701,0.4221,0.23243,0.77319,0.004258,0.004258,0.004258
60,2559.67,0.65549,0.28508,0.82147,0.99792,0.99749,0.99496,0.91504,0.4243,0.22933,0.77275,0.004159,0.004159,0.004159
61,2601.8,0.65601,0.28521,0.81943,0.99676,0.99631,0.9949,0.92165,0.40731,0.22718,0.77081,0.00406,0.00406,0.00406
62,2643.86,0.6553,0.28398,0.82066,0.99498,0.99478,0.99494,0.92019,0.40943,0.22546,0.77146,0.003961,0.003961,0.003961
63,2686.56,0.65458,0.2847,0.82192,0.99622,0.99599,0.99497,0.92149,0.41451,0.22781,0.77185,0.003862,0.003862,0.003862
64,2728.79,0.65216,0.28373,0.82113,0.9985,0.99777,0.99496,0.9155,0.42355,0.2292,0.77177,0.003763,0.003763,0.003763
65,2770.87,0.64074,0.27996,0.81819,0.99611,0.99157,0.99493,0.91948,0.41118,0.2251,0.77195,0.003664,0.003664,0.003664
66,2813.72,0.64701,0.28125,0.81942,0.99539,0.99472,0.99497,0.91869,0.41466,0.22458,0.77215,0.003565,0.003565,0.003565
67,2856.07,0.64588,0.28087,0.81893,0.99507,0.99474,0.99491,0.91868,0.41154,0.22419,0.7703,0.003466,0.003466,0.003466
68,2898.55,0.6421,0.2794,0.81816,0.99585,0.99451,0.99497,0.91067,0.43696,0.22718,0.7743,0.003367,0.003367,0.003367
69,2941.05,0.64005,0.27792,0.81748,0.99434,0.99359,0.99495,0.92056,0.40843,0.22223,0.76986,0.003268,0.003268,0.003268
70,2983.3,0.63898,0.27778,0.81773,0.99612,0.99499,0.99497,0.91047,0.43964,0.2303,0.77264,0.003169,0.003169,0.003169
71,3025.64,0.63653,0.27648,0.81746,0.99849,0.99439,0.99497,0.91713,0.41535,0.22257,0.77155,0.00307,0.00307,0.00307
72,3068.08,0.6353,0.27675,0.81686,0.99503,0.99485,0.99495,0.92114,0.4093,0.22339,0.77079,0.002971,0.002971,0.002971
73,3110.48,0.63365,0.27534,0.81766,0.99621,0.99599,0.99495,0.92194,0.40488,0.22263,0.76969,0.002872,0.002872,0.002872
74,3152.79,0.63126,0.27432,0.8155,0.99493,0.99489,0.99494,0.91844,0.41738,0.22132,0.77104,0.002773,0.002773,0.002773
75,3195.75,0.62815,0.27402,0.81509,0.998,0.9974,0.99495,0.91385,0.42545,0.22406,0.77273,0.002674,0.002674,0.002674
76,3238.46,0.63231,0.27429,0.81655,0.99567,0.99551,0.99496,0.91999,0.4072,0.22095,0.76921,0.002575,0.002575,0.002575
77,3280.99,0.62647,0.27315,0.81462,0.99635,0.99615,0.99494,0.92075,0.41162,0.22219,0.76951,0.002476,0.002476,0.002476
78,3323.26,0.62077,0.27047,0.81546,0.99618,0.99585,0.99495,0.92262,0.40375,0.22007,0.76967,0.002377,0.002377,0.002377
79,3365.5,0.62284,0.27112,0.81457,0.99581,0.9956,0.99494,0.92137,0.40737,0.21883,0.76902,0.002278,0.002278,0.002278
80,3407.91,0.62114,0.27065,0.81475,0.995,0.99489,0.99493,0.92292,0.40093,0.21807,0.76971,0.002179,0.002179,0.002179
81,3450.53,0.61897,0.27038,0.81456,0.99517,0.99464,0.99493,0.91742,0.41858,0.22086,0.77109,0.00208,0.00208,0.00208
82,3492.71,0.62024,0.26942,0.81584,0.99621,0.99588,0.99491,0.91871,0.40954,0.21912,0.77035,0.001981,0.001981,0.001981
83,3535.59,0.61284,0.26861,0.81281,0.99736,0.99695,0.99495,0.92248,0.39828,0.21788,0.76856,0.001882,0.001882,0.001882
84,3578.34,0.61254,0.26706,0.81208,0.99554,0.99512,0.99491,0.92393,0.39803,0.21697,0.76881,0.001783,0.001783,0.001783
85,3621.21,0.61,0.26648,0.81298,0.99675,0.99649,0.9949,0.92324,0.39692,0.21675,0.7686,0.001684,0.001684,0.001684
86,3663.59,0.61446,0.26701,0.81423,0.99799,0.99767,0.99494,0.92313,0.40073,0.21552,0.76861,0.001585,0.001585,0.001585
87,3706,0.60661,0.26477,0.81186,0.99548,0.99521,0.99491,0.9221,0.40331,0.21598,0.76944,0.001486,0.001486,0.001486
88,3748.85,0.60959,0.2656,0.81216,0.99679,0.99635,0.99493,0.92357,0.39603,0.21601,0.76828,0.001387,0.001387,0.001387
89,3793.53,0.60865,0.26561,0.81216,0.99532,0.99535,0.99493,0.92435,0.39681,0.21593,0.76845,0.001288,0.001288,0.001288
90,3839.33,0.60762,0.26485,0.81277,0.99717,0.99689,0.99492,0.92322,0.39751,0.21563,0.76865,0.001189,0.001189,0.001189
91,3930.73,0.58029,0.25172,0.8155,0.99593,0.99499,0.99495,0.91853,0.41232,0.21956,0.76953,0.00109,0.00109,0.00109
92,3968.61,0.57405,0.24784,0.81487,0.99558,0.99453,0.99492,0.92581,0.39022,0.21526,0.76726,0.000991,0.000991,0.000991
93,4005.48,0.57101,0.2469,0.8134,0.99553,0.99523,0.9949,0.92437,0.39425,0.21477,0.7682,0.000892,0.000892,0.000892
94,4042.17,0.56859,0.24571,0.81342,0.99546,0.99458,0.99492,0.92299,0.39624,0.21549,0.76835,0.000793,0.000793,0.000793
95,4078.21,0.56831,0.24451,0.81417,0.9953,0.99458,0.99489,0.92483,0.39227,0.21388,0.768,0.000694,0.000694,0.000694
96,4114.63,0.56294,0.24352,0.81318,0.99535,0.99476,0.99488,0.92366,0.39685,0.21441,0.76829,0.000595,0.000595,0.000595
97,4151.53,0.56194,0.24215,0.81278,0.99557,0.99489,0.99491,0.92483,0.39183,0.21328,0.76765,0.000496,0.000496,0.000496
98,4188.05,0.5586,0.24151,0.81148,0.99504,0.99426,0.99492,0.92288,0.39613,0.21367,0.76824,0.000397,0.000397,0.000397
99,4224.67,0.56085,0.24145,0.81201,0.99525,0.99444,0.99492,0.9244,0.39055,0.21332,0.7676,0.000298,0.000298,0.000298
100,4261.7,0.55553,0.24059,0.81134,0.99516,0.99431,0.99492,0.92367,0.39447,0.21338,0.7679,0.000199,0.000199,0.000199
